timestamp,x,y,z,w
1482546872935423,-0.196106,-0.127014,0.937744,0.257019
1482546872958439,-0.187927,-0.120056,0.944885,0.239624
1482546872973522,-0.179443,-0.110413,0.951721,0.222961
1482546872995558,-0.168457,-0.0979004,0.958374,0.208557
1482546873018613,-0.155334,-0.0853882,0.964478,0.195801
1482546873033607,-0.142212,-0.0795288,0.969177,0.184692
1482546873055694,-0.127869,-0.0764771,0.973267,0.174561
1482546873077709,-0.110596,-0.0734863,0.977356,0.164429
1482546873092791,-0.0911865,-0.0664673,0.981445,0.155029
1482546873115835,-0.0728149,-0.0570679,0.98468,0.147522
1482546873137923,-0.0570679,-0.0511475,0.987,0.141235
1482546873154923,-0.045166,-0.0473022,0.988708,0.134583
1482546873175941,-0.0352173,-0.0405884,0.990295,0.127808
1482546873198004,-0.0238647,-0.0324707,0.99176,0.121277
1482546873214966,-0.0119019,-0.0253906,0.992859,0.11554
1482546873235254,-0.00012207,-0.0198975,0.99353,0.111511
1482546873258326,0.0088501,-0.0136719,0.993774,0.109863
1482546873274281,0.0122681,-0.00842285,0.993958,0.108521
1482546873295353,0.0125732,-0.0045166,0.99408,0.107544
1482546873318495,0.0149536,-0.00372314,0.994324,0.105164
1482546873334031,0.0188599,-0.000793457,0.994446,0.103149
1482546873355221,0.0221558,0.00689697,0.994507,0.101929
1482546873378302,0.022522,0.0144653,0.994446,0.101746
1482546873394310,0.0219116,0.0169067,0.994446,0.101379
1482546873415344,0.0220337,0.019043,0.994446,0.100647
1482546873438046,0.0227051,0.0233154,0.994568,0.0983887
1482546873455055,0.0233765,0.0314331,0.994568,0.0961304
1482546873483175,0.024231,0.0418701,0.994385,0.0940552
1482546873498186,0.0266724,0.0465698,0.994141,0.0931396
1482546873514141,0.0325317,0.0464478,0.993835,0.0947266
1482546873535923,0.0379639,0.0470581,0.993469,0.0961914
1482546873557960,0.0415649,0.0487671,0.993225,0.0963135
1482546873575035,0.0460205,0.0507813,0.992981,0.0959473
1482546873596084,0.0505981,0.0524902,0.992737,0.0952148
1482546873618660,0.0552368,0.0532227,0.992554,0.0942383
1482546873634725,0.0593872,0.0578613,0.992188,0.0928345
1482546873655754,0.0628052,0.062439,0.991638,0.0931396
1482546873677768,0.0634155,0.0619507,0.991516,0.0949097
1482546873694764,0.0623169,0.0584717,0.991455,0.0979004
1482546873715798,0.0614624,0.055481,0.991333,0.101379
1482546873737913,0.0599976,0.0541382,0.991211,0.104309
1482546873763900,0.059021,0.0523682,0.991089,0.106689
1482546873775963,0.0570068,0.0512695,0.99115,0.107971
1482546873797982,0.0541382,0.0510864,0.991211,0.108826
1482546873816080,0.052063,0.0497437,0.991272,0.109863
1482546873835310,0.0499268,0.0488892,0.991211,0.112183
1482546873858321,0.0479126,0.0484619,0.990906,0.115601
1482546873876336,0.0459595,0.0447998,0.990723,0.119324
1482546873895444,0.0444336,0.0393066,0.990479,0.124023
1482546873918410,0.0426636,0.032959,0.989929,0.130432
1482546873940797,0.0397339,0.0238037,0.989258,0.138184
1482546873955812,0.0363159,0.0130005,0.988464,0.146179
1482546873977808,0.0317383,0.0043335,0.987366,0.154785
1482546874000837,0.0229492,-0.0045166,0.986389,0.16272
1482546874015848,0.0123901,-0.0124512,0.984863,0.172424
1482546874037885,0.00164795,-0.0195923,0.982849,0.183044
1482546874060901,-0.00952148,-0.0300293,0.98053,0.193542
1482546874075911,-0.0204468,-0.043396,0.9776,0.204712
1482546874097927,-0.0339966,-0.0565186,0.974121,0.216064
1482546874120970,-0.0485229,-0.0673828,0.970032,0.228149
1482546874135976,-0.0626831,-0.0802002,0.965332,0.240234
1482546874158491,-0.0757446,-0.0946045,0.959961,0.252441
1482546874180987,-0.0899658,-0.109985,0.953918,0.264282
1482546874196015,-0.105774,-0.121948,0.947021,0.277527
1482546874218034,-0.121948,-0.128479,0.940002,0.291382
1482546874240530,-0.135498,-0.132385,0.933838,0.303345
1482546874255540,-0.146973,-0.136047,0.927368,0.315979
1482546874278067,-0.156799,-0.142273,0.920471,0.32843
1482546874300675,-0.1651,-0.148315,0.913208,0.341736
1482546874315685,-0.169922,-0.152283,0.906616,0.354858
1482546874337812,-0.170654,-0.15686,0.900757,0.36731
1482546874369835,-0.169861,-0.163269,0.894836,0.379028
1482546874375835,-0.170532,-0.169128,0.88855,0.390869
1482546874398574,-0.17334,-0.173523,0.882263,0.401733
1482546874420616,-0.175659,-0.177612,0.876526,0.411377
1482546874436614,-0.17627,-0.179993,0.871643,0.42041
1482546874458618,-0.175598,-0.17865,0.868286,0.428101
1482546874480720,-0.175659,-0.175903,0.866455,0.432922
1482546874495462,-0.178101,-0.178162,0.86615,0.43158
1482546874518517,-0.180969,-0.191162,0.862427,0.432312
1482546874552541,-0.181213,-0.196411,0.861023,0.432556
1482546874556549,-0.175293,-0.188354,0.86322,0.434265
1482546874578634,-0.170105,-0.181458,0.865845,0.434021
1482546874600182,-0.169006,-0.185486,0.866577,0.431335
1482546874617191,-0.169922,-0.194946,0.865601,0.42865
1482546874638218,-0.170959,-0.203064,0.864868,0.425964
1482546874660262,-0.169739,-0.20813,0.865173,0.42334
1482546874677239,-0.167114,-0.210999,0.866211,0.420898
1482546874697989,-0.1651,-0.213013,0.867065,0.418884
1482546874721064,-0.164551,-0.216003,0.867004,0.417786
1482546874737063,-0.164551,-0.21936,0.866577,0.416809
1482546874758103,-0.162964,-0.222229,0.866516,0.416138
1482546874780710,-0.160217,-0.224976,0.867188,0.414307
1482546874804538,-0.157959,-0.226929,0.867432,0.413635
1482546874818571,-0.157593,-0.228271,0.867004,0.413818
